rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
29	PRDM1	PR domain containing 1, with ZNF domain	2520	0	123	2	24	2	12	10	48	37	40	1.000000e-16	4.900000e-03	3.546000e-01	1.000000e-16	5.715758e-14
30	POU2F2	POU class 2 homeobox 2	1447	1	140	2	26	4	2	2	34	33	21	1.000000e-16	2.250000e-04	8.784375e-01	1.000000e-16	5.715758e-14
31	RRAGC	Ras-related GTP binding C	1227	3	47	1	33	0	0	2	35	33	22	1.000000e-16	1.000000e-05	9.114300e-01	1.000000e-16	5.715758e-14
32	LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	1474	1	7	2	34	0	0	0	34	32	4	2.367379e-15	1.000000e-05	9.148000e-02	1.000000e-16	5.715758e-14
33	HVCN1	hydrogen voltage-gated channel 1	873	0	111	3	16	4	5	5	30	25	27	1.000000e-16	2.800000e-02	5.800000e-03	1.000000e-16	5.715758e-14
34	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	2053	0	65	4	95	22	30	42	189	177	149	1.000000e-16	7.700000e-03	4.464000e-01	1.110223e-16	5.816952e-14
35	B2M	beta-2-microglobulin	380	0	71	2	37	18	13	14	82	62	49	1.000000e-16	2.100000e-02	5.600000e-02	1.110223e-16	5.816952e-14
36	CD79B	CD79b molecule, immunoglobulin-associated beta	716	0	157	8	39	3	14	3	59	44	38	1.958017e-13	1.000000e-05	3.552000e-02	1.110223e-16	5.816952e-14
37	PCBP1	poly(rC) binding protein 1	1074	0	29	6	24	12	0	8	44	43	35	1.000000e-16	1.800000e-02	7.540000e-01	2.220446e-16	1.131947e-13
38	SOCS1	suppressor of cytokine signaling 1	646	0	227	65	166	12	2	13	193	91	120	1.000000e-16	3.500000e-02	8.710000e-01	3.330669e-16	1.570577e-13
39	LRRN3	leucine rich repeat neuronal 3	2151	0	0	15	66	4	0	0	70	44	68	1.000000e-16	5.200000e-02	9.880000e-01	3.330669e-16	1.570577e-13
40	POU2AF1	POU class 2 associating factor 1	791	0	354	2	4	1	28	1	34	34	10	9.852169e-15	8.000000e-04	1.065000e-02	3.330669e-16	1.570577e-13
41	FBXO11	F-box protein 11	2964	2	369	6	55	18	25	16	114	89	92	1.492355e-15	1.800000e-03	8.645000e-01	4.440892e-16	2.043027e-13
42	HIST1H1C	histone cluster 1, H1c	646	0	21	22	80	0	0	6	86	65	61	8.453253e-16	9.300000e-03	4.094000e-01	5.551115e-16	2.492979e-13
43	BTK	Bruton agammaglobulinemia tyrosine kinase	2052	1	113	1	30	2	5	2	39	38	39	1.000000e-16	6.740000e-01	4.500000e-02	6.661338e-16	2.855595e-13
44	TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	1043	1	40	1	22	5	1	2	30	29	19	1.071168e-14	3.200000e-04	7.408600e-01	6.661338e-16	2.855595e-13
45	P2RY8	purinergic receptor P2Y, G-protein coupled, 8	1092	0	1	0	71	6	0	3	80	66	74	1.559362e-15	4.472000e-01	2.500000e-03	7.771561e-16	3.118876e-13
46	HIST1H1D	histone cluster 1, H1d	670	5	14	17	54	0	0	2	56	46	46	2.714234e-15	1.200000e-02	1.281000e-01	7.771561e-16	3.118876e-13
47	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	2411	0	47	3	5	14	5	14	38	36	35	2.933805e-16	1.220000e-01	1.350000e-01	7.771561e-16	3.118876e-13
48	NOTCH2	Notch homolog 2 (Drosophila)	7549	0	252	7	8	19	1	5	33	31	22	2.949542e-14	3.800000e-04	7.847400e-01	1.110223e-15	4.362714e-13
49	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1003	0	100	1	8	8	6	2	24	22	14	3.505951e-12	2.760000e-02	3.000000e-05	1.332268e-15	5.128415e-13
50	ARID1A	AT rich interactive domain 1A (SWI-like)	6936	0	190	9	38	70	11	65	184	161	153	4.821905e-15	5.000000e-03	1	1.443290e-15	5.337909e-13
51	BCL10	B-cell CLL/lymphoma 10	713	2	31	1	5	13	0	4	22	21	18	1.000000e-16	2.070000e-01	9.980000e-01	1.443290e-15	5.337909e-13
52	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	2531	0	52	7	11	11	5	6	33	33	27	9.992211e-16	2.000000e-02	1	1.554312e-15	5.637969e-13
53	TMSB4X	thymosin beta 4, X-linked	147	0	585	7	32	7	27	13	79	65	40	1.000000e-16	2.410000e-01	9.660000e-01	1.887379e-15	6.716933e-13
54	PHF6	PHD finger protein 6	1242	0	183	1	14	9	8	5	36	30	31	3.748146e-15	2.020000e-02	7.180000e-02	2.331468e-15	8.143733e-13
55	CD58	CD58 molecule	780	0	176	0	11	15	9	11	46	36	35	8.592960e-16	1.800000e-01	1.970000e-01	2.553513e-15	8.757157e-13
56	PCDHGB6	protocadherin gamma subfamily B, 6	20288	15	0	4	14	0	0	1	15	15	9	9.636803e-12	6.000000e-05	1.953900e-01	3.663736e-15	1.227577e-12
57	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16827	1	60	20	60	177	27	144	408	299	348	1.000000e-16	1	5.940000e-01	3.774758e-15	1.227577e-12
58	DUSP2	dual specificity phosphatase 2	960	0	60	47	47	3	22	1	73	52	51	1.000000e-16	8.110000e-01	1	3.774758e-15	1.227577e-12
59	RFX7	regulatory factor X, 7	4415	2	403	1	13	17	5	12	47	40	44	1.308594e-15	9.300000e-02	6.570000e-01	5.995204e-15	1.916636e-12
60	RPL10	ribosomal protein L10	676	0	15	1	25	0	0	0	25	25	5	2.206797e-13	3.600000e-04	1	6.550316e-15	2.059201e-12
61	TET2	tet oncogene family member 2	6144	0	409	3	20	19	2	21	62	46	61	3.010703e-14	4.361000e-01	5.100000e-03	1.076916e-14	3.329967e-12
62	EBF1	early B-cell factor 1	1836	0	1780	4	36	4	20	4	64	53	53	6.279091e-15	3.500000e-02	3.640000e-01	1.310063e-14	3.985550e-12
63	TMEM30A	transmembrane protein 30A	1111	0	70	1	7	15	5	7	34	28	31	5.423655e-16	4.770000e-01	9.680000e-01	1.398881e-14	4.188205e-12
64	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)	1323	1	388	18	53	1	10	0	64	43	41	3.027678e-12	2.000000e-05	9.912100e-01	1.865175e-14	5.497020e-12
65	CRLF2	cytokine receptor-like factor 2	796	0	0	0	15	0	0	0	15	15	1	6.459817e-11	1.000000e-05	1	2.320366e-14	6.733346e-12
66	SIN3A	SIN3 homolog A, transcription regulator (yeast)	3918	0	246	5	21	15	9	10	55	47	52	2.510190e-15	4.770000e-01	6.100000e-01	5.717649e-14	1.634035e-11
67	UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	480	4	30	0	18	1	1	1	21	21	18	1.290845e-14	1.270000e-01	7.190000e-01	7.360779e-14	2.072224e-11
68	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1560	0	345	1	24	6	10	3	43	33	40	2.313495e-15	6.290000e-01	7.210000e-01	8.026912e-14	2.226524e-11
69	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	2273	1	186	2	37	0	4	0	41	36	15	4.033362e-10	1.000000e-05	4.296200e-01	1.376677e-13	3.763315e-11
70	LOC388946		668	2	24	0	19	0	0	0	19	18	2	4.255764e-10	1.000000e-05	1.000000e-05	1.451061e-13	3.909989e-11
71	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	1964	1	91	3	16	8	0	5	29	23	27	2.222008e-13	2.300000e-02	8.280000e-01	2.025047e-13	5.379779e-11
72	XYLT1	xylosyltransferase I	2926	0	0	4	12	0	0	1	13	12	13	3.273202e-14	2.250000e-01	8.130000e-01	3.043121e-13	7.972133e-11
73	HLA-DMB	major histocompatibility complex, class II, DM beta	816	1	60	0	19	3	7	1	30	24	27	2.467089e-12	7.640000e-02	5.700000e-03	3.280709e-13	8.476813e-11
74	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	1589	7	76	1	27	0	1	1	29	29	14	1.388347e-09	1.000000e-05	7.831000e-02	4.568568e-13	1.164491e-10
75	BTG1	B-cell translocation gene 1, anti-proliferative	524	0	334	55	53	2	4	4	63	50	49	4.480695e-12	2.000000e-03	1	5.994094e-13	1.507475e-10
76	BCR	breakpoint cluster region	3905	0	414	35	69	2	1	2	74	41	59	5.861961e-11	8.000000e-05	9.999700e-01	7.225331e-13	1.793213e-10
77	IRF8	interferon regulatory factor 8	1319	0	846	5	39	9	0	20	68	57	47	6.744423e-09	1.000000e-05	4.684100e-01	2.112865e-12	5.175697e-10
78	FILIP1L	filamin A interacting protein 1-like	3468	0	0	2	6	0	0	1	7	7	7	4.282208e-13	1	9.300000e-02	2.145284e-12	5.187737e-10
79	OSBPL10	oxysterol binding protein-like 10	2348	0	1450	18	62	1	2	2	67	48	41	7.087031e-09	1.000000e-05	9.953300e-01	2.216671e-12	5.292513e-10
80	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	172	0	23	0	2	1	4	2	9	9	7	1.677585e-11	1.200000e-02	1.489000e-01	2.760792e-12	6.509256e-10
81	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	713	0	110	0	16	0	0	0	16	15	9	9.937689e-09	3.000000e-05	1.128000e-01	3.074652e-12	7.159763e-10
82	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	1587	1	889	3	37	5	5	10	57	46	32	1.964981e-08	1.000000e-05	9.973200e-01	5.945688e-12	1.367653e-09
83	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	1425	0	53	2	31	0	1	7	39	38	29	6.773813e-11	1.350000e-03	8.975000e-01	6.537548e-12	1.485678e-09
84	ECM2	extracellular matrix protein 2, female organ and adipocyte specific	2142	0	0	0	5	0	0	3	8	8	8	1.745655e-12	1	8.290000e-01	4.900735e-11	1.100448e-08
85	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	977	0	34	4	13	12	3	5	33	25	25	1.696520e-10	7.900000e-03	6.204000e-01	7.997014e-11	1.774584e-08
86	RBM38	RNA binding motif protein 38	585	0	82	6	8	6	2	4	20	18	15	1.926823e-11	2.880000e-01	2.880000e-01	1.812037e-10	3.974261e-08
87	FAM102A	family with sequence similarity 102, member A	1199	0	240	8	23	0	5	1	29	22	22	6.911377e-07	1.000000e-05	7.341000e-01	1.845190e-10	4.000456e-08
88	PRKCD	protein kinase C, delta	2110	0	113	2	24	1	4	1	30	25	28	3.733794e-09	2.080000e-02	7.800000e-03	2.369148e-10	5.078054e-08
89	ACTG1	actin, gamma 1	1154	0	59	13	39	2	1	1	43	37	31	1.299810e-06	1.000000e-05	9.710500e-01	3.388114e-10	7.180518e-08
90	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	749	0	44	0	15	1	1	0	17	16	10	2.062416e-07	3.000000e-05	5.257000e-01	5.787174e-10	1.212863e-07
91	ATP6AP2	ATPase, H+ transporting, lysosomal accessory protein 2	1087	0	42	1	12	0	2	2	16	12	12	2.415854e-06	1.000000e-05	6.665000e-02	6.147474e-10	1.274216e-07
92	WDFY4	WDFY family member 4	10491	1	0	11	15	1	0	0	16	13	16	4.533518e-11	1	8.040000e-01	1.125080e-09	2.306659e-07
93	IKZF3	IKAROS family zinc finger 3 (Aiolos)	1561	0	501	3	28	0	5	0	33	25	27	5.992558e-06	4.000000e-05	3.960000e-03	1.470449e-09	2.982324e-07
94	CTSS	cathepsin S	1031	0	107	1	18	2	1	0	21	14	13	8.926337e-07	3.000000e-05	9.751500e-01	1.947755e-09	3.908356e-07
95	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide	3238	5	182	3	28	0	0	1	29	29	20	1.027348e-06	2.000000e-05	4.111400e-01	1.990754e-09	3.952590e-07
96	LTB	lymphotoxin beta (TNF superfamily, member 3)	751	0	394	13	44	2	27	1	74	65	45	5.484323e-08	1.200000e-03	3.215500e-01	2.625170e-09	5.157911e-07
97	VMA21	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)	316	0	38	0	3	9	0	0	12	12	5	3.281890e-08	9.458000e-01	1.100000e-03	3.304721e-09	6.426150e-07
98	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	2	689	3	21	0	0	2	23	23	15	1.618533e-05	1.000000e-05	2.268500e-01	3.810727e-09	7.334483e-07
99	KIR3DL2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	1402	0	30	1	36	1	1	0	38	35	9	1.953763e-05	1.000000e-05	9.998700e-01	4.563227e-09	8.612206e-07
100	GRB2	growth factor receptor-bound protein 2	682	0	308	1	15	1	2	2	20	16	19	4.887400e-08	1.260000e-02	3.130000e-02	4.565903e-09	8.612206e-07
101	PTPRC	protein tyrosine phosphatase, receptor type, C	4052	0	429	4	13	6	10	10	39	36	38	4.258546e-10	4.340000e-01	8.320000e-01	5.229512e-09	9.766243e-07
102	RB1	retinoblastoma 1 (including osteosarcoma)	3668	0	337	3	10	5	12	3	30	24	27	2.969395e-09	6.400000e-02	8.920000e-01	6.354316e-09	1.175050e-06
103	FAM196A	family with sequence similarity 196, member A	1474	0	0	3	11	0	0	1	12	12	12	4.814386e-10	1	7.630000e-01	1.081034e-08	1.979657e-06
104	PDS5B	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	4480	0	486	7	12	4	2	9	27	26	24	1.337845e-08	2.900000e-02	7.590000e-01	1.224498e-08	2.220815e-06
105	CD70	CD70 molecule	594	16	16	3	17	6	4	4	31	24	24	5.754363e-05	3.448000e-02	1.000000e-05	1.281836e-08	2.302665e-06
106	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	611	0	42	0	10	0	0	0	10	10	6	3.520817e-06	1.666667e-04	8.945889e-01	1.800769e-08	3.204350e-06
107	P2RY14	purinergic receptor P2Y, G-protein coupled, 14	1043	0	0	0	5	0	0	0	5	5	5	2.909375e-08	3.800000e-02	5.710000e-01	1.907907e-08	3.363266e-06
108	HIST1H2BK	histone cluster 1, H2bk	1096	1	88	27	37	2	4	3	46	39	35	6.663674e-09	7.500000e-02	4.330000e-01	1.949853e-08	3.405381e-06
109	BCL7A	B-cell CLL/lymphoma 7A	716	0	3012	8	49	2	29	3	83	62	36	1.686072e-04	1.000000e-05	1.803100e-01	3.574617e-08	6.185728e-06
110	ZC3H6	zinc finger CCCH-type containing 6	3614	0	0	1	6	0	0	2	8	7	7	4.182241e-08	4.200000e-02	9.870000e-01	3.969330e-08	6.806318e-06
111	MEF2C	myocyte enhancer factor 2C	1609	0	715	4	25	0	1	3	29	25	24	2.368793e-04	4.000000e-05	1.678700e-01	4.941512e-08	8.397008e-06
112	USP42	ubiquitin specific peptidase 42	3763	0	0	2	10	0	0	0	10	10	9	8.886842e-09	2.480000e-01	6.520000e-01	5.582726e-08	9.401908e-06
113	ETV6	ets variant gene 6 (TEL oncogene)	1390	0	801	4	10	1	14	3	28	24	17	3.663216e-07	4.000000e-03	9.990000e-01	5.834932e-08	9.739690e-06
114	NUP62	nucleoporin 62kDa	1834	0	0	3	10	0	0	1	11	10	11	2.937292e-09	1	8.360000e-01	6.064268e-08	9.987016e-06
115	JUNB	jun B proto-oncogene	1048	1	13	4	23	2	0	1	26	16	20	1.594531e-06	1.200000e-03	8.693500e-01	6.088998e-08	9.987016e-06
116	ACTB	actin, beta	1154	0	174	7	56	0	10	2	68	46	51	3.681692e-06	5.000000e-04	8.170667e-01	1.058579e-07	1.721286e-05
117	CD79A	CD79a molecule, immunoglobulin-associated alpha	700	2	15	0	2	3	0	6	11	10	9	1.876336e-08	3.190000e-01	6.450000e-01	1.331271e-07	2.146190e-05
118	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	0	239	4	13	0	6	2	21	17	18	1.309837e-04	4.100000e-04	6.613000e-02	1.545210e-07	2.469979e-05
119	CASP8	caspase 8, apoptosis-related cysteine peptidase	1782	4	132	2	18	0	1	3	22	21	22	1.900238e-08	1	1.880000e-01	1.825478e-07	2.893459e-05
120	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	1451	9	15	1	8	0	1	2	11	11	9	1.927036e-04	1.216000e-02	4.000000e-05	1.874799e-07	2.946871e-05
121	HIST1H4B	histone cluster 1, H4b	314	2	3	4	11	1	0	2	14	11	14	2.544864e-08	4.380000e-01	3.260000e-01	2.445119e-07	3.785867e-05
122	PPP4C	protein phosphatase 4 (formerly X), catalytic subunit	963	0	0	0	12	0	1	0	13	12	7	2.321732e-05	4.500000e-04	6.409000e-01	2.448710e-07	3.785867e-05
123	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	527	0	33	1	8	2	1	1	12	12	11	6.925083e-07	1.033000e-01	3.080000e-02	2.682262e-07	4.113238e-05
124	ASMTL	acetylserotonin O-methyltransferase-like	2002	0	0	1	9	0	0	1	10	9	9	1.284377e-06	1.930000e-02	3.207000e-01	2.764551e-07	4.205239e-05
125	DTX1	deltex homolog 1 (Drosophila)	1898	0	1572	31	94	7	6	5	112	68	77	1.603483e-03	1.000000e-05	1	3.038360e-07	4.550375e-05
126	PCDHGA7	protocadherin gamma subfamily A, 7	31865	11	0	1	11	0	0	1	12	12	11	2.083411e-07	2.230000e-01	8.900000e-02	3.039695e-07	4.550375e-05
127	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	963	6	32	0	6	1	10	0	17	16	9	1.825955e-03	1.000000e-05	1.551400e-01	3.436187e-07	5.103414e-05
128	TLR2	toll-like receptor 2	2375	1	45	0	15	0	0	0	15	15	5	1.922207e-03	1.000000e-05	6.636000e-01	3.607446e-07	5.315910e-05
129	HLA-C	major histocompatibility complex, class I, C	1131	5	14	1	7	6	3	2	18	14	18	2.324487e-06	4.309000e-01	9.000000e-04	4.542614e-07	6.642077e-05
130	USP7	ubiquitin specific peptidase 7 (herpes virus-associated)	3429	0	251	2	12	4	8	3	27	26	27	5.693463e-08	3.860000e-01	9.000000e-01	4.794340e-07	6.956219e-05
131	LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	1947	0	25	2	21	0	0	0	21	20	3	2.877840e-03	1.000000e-05	9.379000e-02	5.284761e-07	7.609249e-05
132	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	2629	0	474	5	18	3	4	3	28	23	20	3.013141e-03	1.000000e-05	6.462700e-01	5.519380e-07	7.886859e-05
133	PCDHGC3	protocadherin gamma subfamily C, 3	8042	3	0	2	9	0	0	1	10	10	10	3.400503e-08	1	6.400000e-01	6.187813e-07	8.775528e-05
134	EHD1	EH-domain containing 1	1624	0	107	4	8	2	4	2	16	14	14	4.670371e-05	4.250000e-04	9.469750e-01	7.361137e-07	1.036162e-04
135	PCDHA12	protocadherin alpha 12	10141	3	0	10	18	0	0	0	18	16	16	1.212301e-06	2.600000e-02	6.780000e-01	7.421090e-07	1.036864e-04
136	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	3003	0	288	2	14	0	1	1	16	15	13	4.495224e-03	1.200000e-04	2.567000e-02	8.054392e-07	1.117073e-04
137	RBM12	RNA binding motif protein 12	2829	0	0	1	5	0	0	2	7	7	7	2.560208e-06	2.500000e-02	1	1.293060e-06	1.780270e-04
138	WNK1	WNK lysine deficient protein kinase 1	8760	1	460	6	36	0	1	3	40	37	33	7.510085e-03	2.000000e-05	3.720000e-03	1.307088e-06	1.786543e-04
139	LTBP3	latent transforming growth factor beta binding protein 3	4021	5	35	0	14	0	4	0	18	17	14	1.481502e-04	2.833333e-04	9.918500e-01	1.330752e-06	1.805802e-04
140	CXCR5	chemokine (C-X-C motif) receptor 5	1131	0	172	2	8	5	0	6	19	19	14	5.201636e-06	9.600000e-03	9.566000e-01	1.482312e-06	1.997098e-04
141	CD83	CD83 molecule	636	0	394	7	12	1	15	2	30	24	23	1.869948e-07	4.120000e-01	8.300000e-01	1.603757e-06	2.145395e-04
142	C10orf12	chromosome 10 open reading frame 12	3748	25	12	0	10	16	0	19	45	38	44	1.154573e-07	1	7.950000e-01	1.959815e-06	2.603241e-04
143	MEF2B	myocyte enhancer factor 2B	1246	0	0	0	1	0	0	2	3	3	2	4.053745e-06	2.900000e-02	1	1.993362e-06	2.629287e-04
144	NPHP1	nephronophthisis 1 (juvenile)	2280	0	0	3	2	1	0	2	5	4	5	3.641215e-07	1	2.500000e-01	2.063841e-06	2.703345e-04
145	HIST1H2BD	histone cluster 1, H2bd	1025	0	67	12	15	0	1	0	16	15	12	2.161308e-04	2.306667e-02	6.666667e-03	2.752792e-06	3.580908e-04
146	ZNF608	zinc finger protein 608	4574	0	582	16	32	3	6	6	47	40	47	9.046933e-07	1.070000e-01	8.110000e-01	2.835252e-06	3.662912e-04
147	LAPTM5	lysosomal associated multispanning membrane protein 5	821	0	150	3	1	3	8	2	14	13	14	1.786004e-07	7.490000e-01	6.880000e-01	2.953714e-06	3.789997e-04
148	MAP2K7	mitogen-activated protein kinase kinase 7	1304	2	33	3	10	0	1	0	11	11	7	8.747754e-04	1.400000e-04	9.213700e-01	3.168396e-06	4.037992e-04
149	PAX5	paired box 5	1213	0	2069	4	26	3	3	1	33	32	28	1.850062e-03	5.000000e-05	9.318500e-01	3.339051e-06	4.226925e-04
150	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	613	0	39	0	11	0	2	2	15	13	14	3.309358e-06	4.200000e-02	8.360000e-01	3.466646e-06	4.359192e-04
151	WAC	WW domain containing adaptor with coiled-coil	1998	0	329	2	4	3	6	5	18	17	18	2.281587e-07	1	9.150000e-01	3.717441e-06	4.643601e-04
152	NOL9	nucleolar protein 9	2289	0	174	31	31	2	3	1	37	29	32	7.694074e-06	2.500000e-02	9.970000e-01	5.382309e-06	6.679021e-04
153	FAM196B	family with sequence similarity 196, member B	1713	0	0	2	3	0	0	1	4	4	4	9.754372e-07	1	3.990000e-01	6.549961e-06	8.074860e-04
154	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	1377	0	3543	175	510	6	42	6	564	234	208	4.295278e-02	1.000000e-05	4.574800e-01	6.726654e-06	8.238841e-04
155	HIST1H3B	histone cluster 1, H3b	808	4	9	6	21	1	0	1	23	19	23	4.404336e-07	6.980000e-01	6.800000e-01	6.886402e-06	8.380084e-04
156	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	1197	1	167	1	9	0	0	1	10	10	7	7.679376e-03	3.000000e-05	7.657200e-01	7.183465e-06	8.685546e-04
